acquisition_orientation	autocorrelation_model	b0_unwarping_software	coordinate_space	echo_time	field_of_view	field_strength	flip_angle	full_dataset_url	functional_coregistered_to_structural	functional_coregistration_method	group_comparison	group_description	group_estimation_type	group_inference_type	group_model_multilevel	group_model_type	group_modeling_software	group_repeated_measures	group_repeated_measures_method	handedness	hemodynamic_response_function	high_pass_filter_method	inclusion_exclusion_criteria	interpolation_method	intersubject_registration_software	intersubject_transformation_type	intrasubject_estimation_type	intrasubject_model_type	intrasubject_modeling_software	length_of_blocks	length_of_runs	length_of_trials	matrix_size	motion_correction_interpolation	motion_correction_metric	motion_correction_reference	motion_correction_software	nonlinear_transform_type	number_of_experimental_units	number_of_images	number_of_imaging_runs	number_of_rejected_subjects	object_image_type	optimization	optimization_method	order_of_acquisition	order_of_preprocessing_operations	orthogonalization_description	parallel_imaging	proportion_male_subjects	pulse_sequence	quality_control	repetition_time	resampled_voxel_size	scanner_make	scanner_model	skip_distance	slice_thickness	slice_timing_correction_software	smoothing_fwhm	smoothing_type	software_package	software_version	subject_age_max	subject_age_mean	subject_age_min	target_resolution	target_template_image	transform_similarity_metric	type_of_design	used_b0_unwarping	used_dispersion_derivatives	used_high_pass_filter	used_intersubject_registration	used_motion_correction	used_motion_regressors	used_motion_susceptibiity_correction	used_orthogonalization	used_reaction_time_regressor	used_slice_timing_correction	used_smoothing	used_temporal_derivatives	doi	pmid	year	title	source_title
											True	healthy controls vs pathological gamblers								right																				6.0		0.0																							34.0																		10.1038/npp.2016.43	27006113.0	2016	Amplified Striatal Responses To Near-Miss Outcomes In Pathological Gamblers	Neuropsychopharmacology
																																								1.0																																											10.1016/j.neubiorev.2016.04.020		2016	Neural Processing Of Negative Emotional Stimuli And The Influence Of Age, Sex And Task-Related Characteristics	Neuroscience & Biobehavioral Reviews
																																								1.0																																											10.1038/s41598-018-36269-4	30575799.0	2018	Contributions Of Default Mode Network Stability And Deactivation To Adolescent Task Engagement	Scientific Reports
																																								10.0																																											10.1016/j.neuron.2015.03.019	25864634.0	2015	Neural Mechanisms Underlying Human Consensus Decision-Making	Neuron
																																								5.0																																											10.1016/j.cortex.2017.08.016	28910669.0	2017	Peri-hand Space Representation In The Absence Of A Hand â Evidence From Congenital One-Handers	Cortex
																																								41.0																																											10.1016/j.neuroimage.2015.09.021	26386348.0	2016	Challenges In The Reproducibility Of Clinical Studies With Resting State fMRI: An Example In Early Parkinson's Disease	NeuroImage
								http://www.humanconnectome.org/study/hcp-young-adult																																15.0																																											10.7554/eLife.26653	28826495.0	2017	Anatomical And Functional Organization Of The Human Substantia Nigra And Its Connections	eLife
								https://openfmri.org/dataset/ds000052																																5.0															Siemens	Allegra																											10.1038/35107080		2001	Interactive Memory Systems In The Human Brain	Nature
				30.0	256.0		90.0				False																						64.0							3.0		3.0				interleaved				0.4			2000.0		Siemens	Verio and Tim Trio								46.0	27.0	19.0				other													10.1523/JNEUROSCI.0786-13.2013	24133268.0	2013	Medial And Lateral Networks In Anterior Prefrontal Cortex Support Metacognitive Ability For Memory And Perception	The Journal Of Neuroscience
																																								90.0																																											10.1371/journal.pone.0152272	27045292.0	2016	Representing Representation: Integration Between The Temporal Lobe And The Posterior Cingulate Influences The Content And Form Of Spontaneous Thought	Plos One
						3.0		https://openfmri.org/dataset/ds000011																																10.0															Siemens	Allegra, head-only																											10.1073/pnas.0602659103	16868087.0	2006	Modulation Of Competing Memory Systems By Distraction	Proceedings Of The National Academy Of Sciences
																																								21.0																																											10.1111/ejn.13392		2016	Graph Coarse-Graining Reveals Differences In The Module-Level Structure Of Functional Brain Networks	European Journal Of Neuroscience
axial at +15 degree tilt to ACPC	none		mni	30.0		3.0	77.0		True		False		FSL Randomise package, Threshold Free Cluster Enhancement			Correlation	FSL	False		right			inclusion: must like and regularly consume snack foods, but follow a healthy lifestyle; exclusion: any allergy, food intolerance, eating disorder, history of psychiatric disorder, medication			linear	OLS	GLM	SPM 8			3 seconds, plus 2-6 seconds jittered ITI					SPM 8		70.0	3.0	3.0	0.0		True		ascending	Data were realigned, unwarped, segmented according to T1 structural image and normalized to individual mean EPI before smoothing; also used RETROICOR 		SENSE factor 2		T2* EPI 		2460.0		Philips	Achieva	0.6	3.1		4.0	isometric Gaussian kernel	SPM 8	Rev. Nr. 5236	27.0	21.2	18.0				eventrelated		False	False	True	True	True		True	False	False	True	False	10.1523/JNEUROSCI.2815-16.2016	28077722.0	2016	Higher Heart-Rate Variability Is Associated With Ventromedial Prefrontal Cortex Activity And Increased Resistance To Temptation In Dietary Self-Control Challenges	The Journal Of Neuroscience
																																								4.0																																											10.1016/j.neuron.2017.05.014	28602689.0	2017	Empathic Care And Distress: Predictive Brain Markers And Dissociable Brain Systems	Neuron
																																								4.0																																											10.1016/j.bbr.2019.112417		2020	Brain Imaging Of Chill Reactions To Pleasant And Unpleasant Sounds	Behavioural Brain Research
																																								19.0																																											10.1016/j.biopsych.2019.07.028		2020	The Neurofunctional Basis Of Affective Startle Modulation In Humans: Evidence From Combined Facial Electromyography And Functional Magnetic Resonance Imaging	Biological Psychiatry
											True	LSD compared to Placebo																												10.0																																								False			10.1073/pnas.1518377113	27071089.0	2016	Neural Correlates Of The LSD Experience Revealed By Multimodal Neuroimaging	Proceedings Of The National Academy Of Sciences
			mni			3.0		https://openfmri.org/dataset/ds000201/			False									right					DARTEL	nonlinear					480.0									37.0	4.0														GE							DPARSFA		75.0		20.0				other				True							True		10.1038/s41598-017-09744-7	28842597.0	2017	Intrinsic Brain Connectivity After Partial Sleep Deprivation In Young And Older Adults: Results From The Stockholm Sleepy Brain Study	Scientific Reports
																																								5.0																																											10.1016/j.neuropsychologia.2020.107495		2020	Neural Correlates Of Successful Emotional Episodic Encoding And Retrieval: An SDM Meta-Analysis Of Neuroimaging Studies	Neuropsychologia
																																								7.0																																											10.7554/eLife.12112	26999822.0	2016	The Hierarchical Organization Of The Lateral Prefrontal Cortex	eLife
																																								12.0																																											10.1093/scan/nsw161	27803286.0	2016	The Neural Basis Of Understanding The Expression Of The Emotions In Man And Animals	Social Cognitive And Affective Neuroscience
																																								7.0																																											10.1093/cercor/bhaa010	32219378.0	2020	Task-Dependent Recruitment Of Modality-Specific And Multimodal Regions During Conceptual Processing	Cerebral Cortex
																																								9.0																																											10.1523/ENEURO.0295-18.2018	30627631.0	2018	Neural Evidence Of Hierarchical Cognitive Control During Haptic Processing: An fMRI Study	Eneuro
								http://anima.modelgui.org/studies/Cieslik_DLPFC_2013																																4.0																																											10.1093/cercor/bhs256	22918987.0	2012	Is There âOneâ DLPFC In Cognitive Action Control? Evidence For Heterogeneity From Co-Activation-Based Parcellation	Cerebral Cortex
																																								12.0																																											10.1111/ejn.14288	30471149.0	2018	Financial Gainâ And lossârelatedBOLDsignals In The Human Ventral Tegmental Area And Substantia Nigra Pars Compacta	European Journal Of Neuroscience
																																								46.0																																											10.1016/j.cortex.2017.04.013		2017	Mechanisms Of Hemispheric Lateralization: A Replication Study	Cortex
																																								3.0																																											10.1038/nrn2994	21331082.0	2011	The Integration Of Negative Affect, Pain And Cognitive Control In The Cingulate Cortex	Nature Reviews Neuroscience
																																								13.0																																											10.1016/j.dcn.2019.100628	30981164.0	2019	Corticostriatal Connectivity Is Associated With The Reduction Of Intergroup Bias And Greater Impartial Giving In Youth	Developmental Cognitive Neuroscience
								http://anima.modelgui.org/studies/Schilbach_SocialNetworks_2012																																8.0																																											10.1371/journal.pone.0030920	22319593.0	2012	Introspective Minds: Using ALE Meta-Analyses To Study Commonalities In The Neural Correlates Of Emotional Processing, Social & Unconstrained Cognition	Plos One
								http://anima.fz-juelich.de/api/studies/Chase_ReinforcementLearningALE_2015																																3.0																																											10.3758/s13415-015-0338-7	25665667.0	2015	Reinforcement Learning Models And Their Neural Correlates: An Activation Likelihood Estimation Meta-Analysis	Cognitive, Affective, & Behavioral Neuroscience
																																								18.0																																											10.1002/da.22977		2019	The Neural Correlates Of TraumaâRelated Autobiographical Memory In Posttraumatic Stress Disorder: A MetaâAnalysis	Depression And Anxiety
																																								3.0																																											10.1073/pnas.1522551113	27162349.0	2016	Causal Evidence For Frontal Cortex Organization For Perceptual Decision Making	Proceedings Of The National Academy Of Sciences
																																								32.0																																											10.1073/pnas.1804876115	30420501.0	2018	Subspecialization Within Default Mode Nodes Characterized In 10,000 UK Biobank Participants	Proceedings Of The National Academy Of Sciences
																																								3.0																																											10.1093/scan/nsy080	30203082.0	2018	Oxytocin Reduces Neural Activation In Response To Infant Faces In Nulliparous Young Women	Social Cognitive And Affective Neuroscience
Oblique			mni	30.0	192.0	3.0	77.0		True	Boundary-based registration	False									right					ANTs	nonlinear					472.0	Variable	96.0					Symmetric diffeomorphic	75.0	5.0	12.0	0.0	T1	False		interleaved				0.47	GRE-EPI		2.0	2.0	GE	Discovery 750	0.0	2.3		4.0	FSL SUSAN			29.0		19.0	2.0	FSL nonlinear MNI152		eventrelated				True							True		10.1093/cercor/bhv333		2016	Adaptive Engagement Of Cognitive Control In Context-Dependent Decision Making	Cerebral Cortex
																																								3.0																																											10.1073/pnas.1802523115	30061413.0	2018	Distinguishing Neural Correlates Of Context-Dependent Advantageous- And Disadvantageous-Inequity Aversion	Proceedings Of The National Academy Of Sciences
																																								1.0																																											10.3389/fnhum.2015.00553	26539094.0	2015	Being Asked To Tell An Unpleasant Truth About Another Person Activates Anterior Insula And Medial Prefrontal Cortex	Frontiers In Human Neuroscience
axial	local AR(1) via FILM	SPM12	mni	30.0	204.0	3.0	90.0		True	normalized mutual information	False		GLS	randommixedeffects		regression	FSL	False		right	double gamma				SPM12 (unified segmentation)	nonlinear	OLS	regression	FSL			variable	68.0						36.0	9.0	4.0	0.0		True	quasi-exponential distribution of ITIs/ISIs	interleaved			GRAPPA (acceleration factor = 2)	0.4545	EPI		2.0	3.0	Siemens	trio	0.3	3.3		4.0	Gaussian	SPM12		39.0	33.0	18.0				eventrelated	True	False	True	True	True			False			True	False	10.1038/srep20093	26831208.0	2016	Distinct Reward Properties Are Encoded Via Corticostriatal Interactions	Scientific Reports
						3.0	9.0				True	prodromal (pro) DLB patients < healthy elederly controls (HC) ; pro-AD patients < HC; pro-DLB < pro-AD; mild-DLB (mild dementia) < HC; mild-AD < HC ; mild-DLB < mild-AD																					192192176.0							20.0															Siemens	Verio	0.0	1.0																									10.1038/s41598-017-08667-7	28842567.0	2017	Insular Atrophy At The Prodromal Stage Of Dementia With Lewy Bodies: A VBM DARTEL Study	Scientific Reports
																																								10.0																																											10.1038/s41467-018-07231-9	30420714.0	2018	Neural Mechanisms For Learning Self And Other Ownership	Nature Communications
											False									right																				3.0	1.0	11.0								0.39														31.0	20.2	18.0				blocked													10.1016/j.neuroimage.2017.06.067		2017	Varieties Of Semantic Cognition Revealed Through Simultaneous Decomposition Of Intrinsic Brain Connectivity And Behaviour	NeuroImage
				4.94	256.0	1.5	15.0				True	Dyslexia, Dyscalculia, Comorbid, Control													CAT12 toolbox in SPM12								256.0							9.0										0.56	MP-RAGE		11.0		Siemens	Avanto	0.0	1.0		8.0	FWHM	CAT12 toolbox in SPM12	r1278		30.85									True							True		10.1016/j.neuropsychologia.2019.02.002		2019	Volumetric And Surface Characteristics Of Gray Matter In Adult Dyslexia And Dyscalculia	Neuropsychologia
											True	European American vs. Chinese																												8.0																																											10.1007/s40167-018-0070-6		2018	Cultural Influences On The Neural Correlates Of Intergroup Perception	Culture And Brain
																																								8.0																																											10.1038/s41598-017-10310-4	28852151.0	2017	Hypnotic Analgesia Reduces Brain Responses To Pain Seen In Others	Scientific Reports
																																								10.0																																											10.1016/j.psyneuen.2017.03.017	28419914.0	2017	Longitudinal Changes In Pubertal Maturation And White Matter Microstructure	Psychoneuroendocrinology
																																								22.0																																											10.1016/j.neuroimage.2017.07.042	28736307.0	2017	Local Striatal Reward Signals Can Be Predicted From Corticostriatal Connectivity	NeuroImage
																																								3.0																																											10.1093/scan/nsx076	28575483.0	2017	Thatâs Me In The Spotlight: Neural Basis Of Individual Differences In Self-Consciousness	Social Cognitive And Affective Neuroscience
axial			mni	20.0	240.0	3.0	90.0		True		False		OLS	randommixedeffects		Regression	SPM12			right	canonical	128			SPM12	nonlinear	OLS	GLM	SPM12	12.0	264.0		128.0						10.0	2.0	1.0	1.0	EPI			interleaved			SENSE 2	0.5	EPI		2910.0	1.5	GE	Discovery	0.0	1.0		8.0	FWHM	SPM12		55.0	39.9	21.0				hybridblockevent	False	False	True	True	True	True	False	False	False	True	True	False	10.1016/j.biopsych.2014.06.005		2015	Corticostriatal Control Of Goal-Directed Action Is Impaired In Schizophrenia	Biological Psychiatry
																																								17.0																																											10.1080/17470919.2017.1324521		2017	Evaluating Methods Of Correcting For Multiple Comparisons Implemented In SPM12 In Social Neuroscience fMRI Studies: An Example From Moral Psychology	Social Neuroscience
								http://anima.modelgui.org/studies/Langner_SustainedAttention_2013																																1.0																																											10.1037/a0030694	23163491.0	2013	Sustaining Attention To Simple Tasks: A Meta-Analytic Review Of The Neural Mechanisms Of Vigilant Attention.	Psychological Bulletin
																																								1.0																																											10.7717/peerj.6550	30842910.0	2019	Recruitment Of Cognitive Control Regions During Effortful Self-Control Is Associated With Altered Brain Activity In Control And Reward Systems In Dieters During Subsequent Exposure To Food Commercials	PeerJ
																																								8.0																																											10.1016/j.neuroimage.2019.03.033	30905834.0	2019	Neural Markers Of Category-Based Selective Working Memory In Aging	NeuroImage
																																								7.0																																											10.1038/sdata.2016.92	27779621.0	2016	A Studyforrest Extension, Simultaneous fMRI And Eye Gaze Recordings During Prolonged Natural Stimulation	Scientific Data
																				right																				14.0																						FSL	4.1												True								10.1016/j.cortex.2017.11.015		2018	Individual Variation In The Propensity For Prospective Thought Is Associated With Functional Integration Between Visual And Retrosplenial Cortex	Cortex
																																								12.0																																											10.3389/fnins.2017.00132	28381986.0	2017	Simulating Longitudinal Brain MRIs With Known Volume Changes And Realistic Variations In Image Intensity	Frontiers In Neuroscience
																																								11.0																																											10.7554/eLife.39681	30560782.0	2018	Odor-evoked Category Reactivation In Human Ventromedial Prefrontal Cortex During Sleep Promotes Memory Consolidation	eLife
AC-PC	AR(1) modelled			30.0		4.0	70.0				False			randommixedeffects		GLM		True		both		64 s cut-off			SPM12			GLM			360.0	variable	64.0						70.0	6.0	4.0	0.0		False		interleaved				0.62	EPI		2000.0	2.0	Siemens	Trio	0.6	3.6		8.0		SPM12		37.0	24.0	19.0				eventrelated		False	True	True	True	True		False	False	True	True	False	10.1038/s41598-017-16848-7	29192256.0	2017	Posterior Parietal Cortex Evaluates Visuoproprioceptive Congruence Based On Brief Visual Information	Scientific Reports
																																								55.0																																											10.1016/j.neuroimage.2016.10.041		2017	In Need Of Constraint: Understanding The Role Of The Cingulate Cortex In The Impulsive Mind	NeuroImage
																				both																				4.0																																				True			False			True	10.1093/scan/nsw096	27445208.0	2016	Letting The Good Times Roll: Adolescence As A Period Of Reduced Inhibition To Appetitive Social Cues	Social Cognitive And Affective Neuroscience
								http://anima.fz-juelich.de/studies/Bzdok_mPFC_2013																																2.0																																											10.3389/fnhum.2013.00232	23755001.0	2013	Segregation Of The Human Medial Prefrontal Cortex In Social Cognition	Frontiers In Human Neuroscience
																																								37.0																																											10.1016/j.neuroimage.2018.09.009		2019	A Comparative fMRI Meta-Analysis Of Altruistic And Strategic Decisions To Give	NeuroImage
																																								12.0																																											10.1093/scan/nsx037	28475756.0	2017	Shared States: Using MVPA To Test Neural Overlap Between Self-Focused Emotion Imagery And Other-Focused Emotion Understanding	Social Cognitive And Affective Neuroscience
																																								7.0																																											10.1126/science.aan3458	28798131.0	2017	Pavlovian ConditioningâInduced Hallucinations Result From Overweighting Of Perceptual Priors	Science
																																								4.0																																											10.1007/s00429-017-1481-4		2017	A Large-Scale Study On The Effects Of Sex On Gray Matter Asymmetry	Brain Structure And Function
																																								6.0																																											10.1038/tp.2016.213	27845779.0	2016	Brain Responses To Biological Motion Predict Treatment Outcome In Young Children With Autism	Translational Psychiatry
																																								6.0																																											10.1001/jamapsychiatry.2016.3084		2017	Disruption Of Reward Processing In Addiction	JAMA Psychiatry
																																								5.0																																											10.1016/j.neuron.2016.08.019	27657452.0	2016	Human Orbitofrontal Cortex Represents A Cognitive Map Of State Space	Neuron
																																								16.0																																											10.1002/hbm.24038	29575246.0	2018	Semantically Defined Subdomains Of Functional Neuroimaging Literature And Their Corresponding Brain Regions	Human Brain Mapping
																																								2.0																																											10.1016/j.neuroimage.2014.09.069		2015	What You See Is What You Eat: An ALE Meta-Analysis Of The Neural Correlates Of Food Viewing In Children And Adolescents	NeuroImage
																																								3.0																																											10.1523/JNEUROSCI.4402-15.2016	27307242.0	2016	Large-Scale Meta-Analysis Of Human Medial Frontal Cortex Reveals Tripartite Functional Organization	The Journal Of Neuroscience
								http://evendim.caltech.edu/amygdala-atlas/																																28.0																																											10.1002/hbm.23289	27354150.0	2016	In Vivo Delineation Of Subdivisions Of The Human Amygdaloid Complex In A High-Resolution Group Template	Human Brain Mapping
																																								10.0																																											10.1111/desc.12484	29282834.0	2016	Mother Still Knows Best: Maternal Influence Uniquely Modulates Adolescent Reward Sensitivity During Risk Taking	Developmental Science
								https://osf.io/tq8k7/?view_only=f1439b0938ea4f7696b608b193eb2a36																																1.0																																											10.1073/pnas.1900872116	31451671.0	2019	Endogenous Fluctuations In The Dopaminergic Midbrain Drive Behavioral Choice Variability	Proceedings Of The National Academy Of Sciences
																																								3.0																																											10.1016/j.nicl.2018.10.020	30389345.0	2018	Impaired Neural Processing Of Transitive Relations In Children With Math Learning Difficulty	NeuroImage: Clinical
																																								4.0																																											10.1093/cercor/bhx204	28968758.0	2017	Large-scale Meta-analysis Suggests Low Regional Modularity In Lateral Frontal Cortex	Cerebral Cortex
											False																				0.0					Mean image			4.0	5.0	1.0			False																		SPM	8							eventrelated	False				True					True			10.3758/s13415-017-0512-1		2017	The Integration Of Social Influence And Reward: Computational Approaches And Neural Evidence	Cognitive, Affective, & Behavioral Neuroscience
																																								3.0																																											10.1212/WNL.0000000000000592	24920856.0	2014	Functional Connectivity In The Basal Ganglia Network Differentiates PD Patients From Controls	Neurology
																																								9.0																																											10.1038/nn.4468		2016	Emotional Brain States Carry Over And Enhance Future Memory Formation	Nature Neuroscience
																								nearest neighbor	ANTs, SimpleITK	nonlinear												Demons		7.0			SPGR							0.7														31.7		13.4			CC					True									10.1002/hipo.22809	29072793.0	2017	Cytoarchitectonicallyâdriven MRI Atlas Of Nonhuman Primate Hippocampus: Preservation Of Subfield Volumes In Aging	Hippocampus
												Preterm infants scanned at term-equivalent age											Exclusion criteria included: prior MR imaging, major congenital malformations and the presence of metallic implants. 61 were excluded due to unavailable or motion-artefacted MRI and one withdrew																	20.0										0.503					Philips																												10.1002/ana.24995	28719076.0	2017	Multimodal Image Analysis Of Clinical Influences On Preterm Brain Development	Annals Of Neurology
transversal	prewhitening	FSL	mni	30.0	224.0	3.0	90.0		True		True	Main effects + Age effects	OLS	fixedeffects		regression	FreeSurfer	False		right	two-gamma canonical	high-pass filtered at 0.01 Hz	No neurologic/psychiatric disorders, chronic illness, premature birth, learning disabilities, psychotropic medicines / MMSE > 26 / Memory & estimated IQ > -1.5 SD 		FreeSurfer	linear	OLS	regression	FreeSurfer				74.0			mid-volume	FSL		50.0	24.0		41.0	T1	True	optseq (tempatively optimized)	interleaved	B0 corrected, motion corrected, slice timing corrected , intensity normalized, registered to anatomical volume		partially parallel acquisitions acceleration factor = 2	0.37	EPI	visual / movement plots	2390.0		Siemens	Skyra	0.0	3.0	FSL 	8.0	volumetric	FSL + FreeSurfer	5.3	78.0	51.0	22.0	2.0	MNI305		eventrelated	True		True	True	True	True		False	False	True	True	True	10.1016/j.neurobiolaging.2017.08.017		2017	Neural Correlates Of Durable Memories Across The Adult Lifespan: Brain Activity At Encoding And Retrieval	Neurobiology Of Aging
																																								8.0																																											10.1073/pnas.1712811115	30038007.0	2018	Neural Detection Of Socially Valued Community Members	Proceedings Of The National Academy Of Sciences
																																								10.0																																											10.1016/j.neubiorev.2018.07.013	30067939.0	2018	Functional Neuroanatomy Of Peripheral Inflammatory Physiology: A Meta-Analysis Of Human Neuroimaging Studies	Neuroscience & Biobehavioral Reviews
																																								4.0																																											10.1159/000445481		2016	EEG Source Reconstruction In Male Nonsmokers After Nicotine Administration During The Resting State	Neuropsychobiology
																																								6.0																																											10.1038/mp.2015.88		2015	Neural Signatures Of Human Fear Conditioning: An Updated And Extended Meta-Analysis Of fMRI Studies	Molecular Psychiatry
																				right																				33.0																														other													10.1177/0956797617728727	29131720.0	2017	Dimensions Of Experience: Exploring The Heterogeneity Of The Wandering Mind	Psychological Science
						3.0					True														FSL	nonlinear														9.0															Siemens	Verio																		True									10.1212/WNL.0000000000007772	31201296.0	2019	Age-dependent Association Of White Matter Abnormality With Cognition After TIA Or Minor Stroke	Neurology
																																								52.0																																											10.1111/desc.12531	28295877.0	2017	Neuroscientific Insights Into The Development Of Analogical Reasoning	Developmental Science
																																								2.0																																											10.1093/scan/nsy099	30418656.0	2018	A Drama Movie Activates Brains Of Holistic And Analytical Thinkers Differentially	Social Cognitive And Affective Neuroscience
																																								5.0																																											10.1093/schbul/sbz091	31595302.0	2019	Oxytocin Enhances An Amygdala Circuit Associated With Negative Symptoms In Schizophrenia: A Single-Dose, Placebo-Controlled, Crossover, Randomized Control Trial	Schizophrenia Bulletin
transverse			other	30.0	216.0	3.0			True		True	We compared activation changes across one year between same-age children who went to school vs. attended kindergarten		fixedeffects		GLM		False		right	Gamma (500ms boxcar function)		Exclusion due to: excessive movement (>3 mm), problems with button box, children not wanting to be scanned, children did not follow instructions		FEAT	linear		GLM				variable							1.0	5.0	2.0	18.0		True	Optseq 2	interleaved							2000.0		Siemens	Tim Trio	0.3	3.0		5.0	FWHM Gaussian filter	FSL	5.0.8	6.0	5.5	5.0		sample-specific template		eventrelated	False	False	True	True	True	False	False	False	False	True	True		10.1177/0956797617699838		2017	Does One Year Of Schooling Improve Childrenâs Cognitive Control And Alter Associated Brain Activation?	Psychological Science
																																								13.0																																											10.1093/brain/aww139	27286736.0	2016	The Relationship Between Cerebrospinal Fluid Markers Of Alzheimer Pathology And Positron Emission Tomography Tau Imaging	Brain
AC-PC (auto)	AR(1)		mni	25.0	192.0	3.0	80.0		True		True	Patients with social anxiety disorder relative to matched healthy controls		randommixedeffects		two-sample t-test		False		right	SPM default	128 s (SPM default)									623.0	25	64.0			first scan of session			24.0	7.0	3.0	2.0				descending	realignment (to 1st scan), unwarp (fieldmap), coreg (T1-->meanEPI), segment, DARTEL normalization to group template (incl. smoothing)			24.0	EPI	ArtRepair for excessive head movement and signal dropout	2250.0		Siemens	TIM Trio	0.6	3.6		6.0	Gaussian	SPM	8		30.0					eventrelated	True	False	True	True	True	True		False	False	False	True	False	10.1503/jpn.130080	24690369.0	2014	Behavioural And Neural Correlates Of Self-Focused Emotion Regulation In Social Anxiety Disorder	Journal Of Psychiatry And Neuroscience
			mni			3.0			True		False															nonlinear														2.0													2000.0		GE	Discovery MR750				8.0														True							True		10.1038/sdata.2016.116	27996964.0	2016	Multi-echo fMRI Replication Sample Of Autobiographical Memory, Prospection And Theory Of Mind Reasoning Tasks	Scientific Data
																																								6.0																																											10.7554/eLife.33321	29561263.0	2018	Stomach-brain Synchrony Reveals A Novel, Delayed-Connectivity Resting-State Network In Humans	eLife
								http://anima.modelgui.org/studies/Rottschy_WorkingMemory_2012																																5.0																																											10.1016/j.neuroimage.2011.11.050	22178808.0	2012	Modelling Neural Correlates Of Working Memory: A Coordinate-Based Meta-Analysis	NeuroImage
obl	autoregressive (AR(1), default SPM)		mni	20.0	220.0	3.0	80.0		True		False	Healthy subjects with body mass index (kg/m2) between 19.2-24.4, average of 22.4 ± 1.4 sd	restricted maximum likelihood	randommixedeffects		factorial ANOVA		True	"independence ""No"", variance ""Unequal"""	right	canonical (default SPM)	300 s	no known taste, smell, neurological, or psychiatric disorders	4th degree B-spline		linear	restricted maximum likelihood	GLM			780.0	variable	64.0	4th degree B-spline		mean			36.0	4.0	3.0	4.0	T1	True	FSL design efficiency comparison of a couple of different variations	interleaved	realignment, slice timing, coregistrations to T1, segment T1, normalization to MNI, smoothing 6 mm	default SPM		0.53333	EPI BOLD	visually inspect realignment parameters and normalization	2.0	10.9	Siemens	Trio Tim		3.0		6.0	gaussian	SPM12	12.0.0.0	30.0	23.9	18.0	1.0			eventrelated	False	False	True	True	True	False	False	True	False	True	True	True	10.1016/j.cub.2017.07.018	28803868.0	2017	Integration Of Sweet Taste And Metabolism Determines Carbohydrate Reward	Current Biology
																																								20.0																																											10.1176/appi.ajp.2018.18010034		2019	Multimodal Structural Neuroimaging Markers Of Brain Development And ADHD Symptoms	American Journal Of Psychiatry
																																								18.0																																											10.1371/journal.pcbi.1005810	29049406.0	2017	Distinct Prediction Errors In Mesostriatal Circuits Of The Human Brain Mediate Learning About The Values Of Both States And Actions: Evidence From High-Resolution fMRI	PLOS Computational Biology
											False									right																				24.0		6.0								0.19					MEG 4D/BTi							FSL		34.0		18.0				eventrelated													10.1371/journal.pone.0169269	28076421.0	2017	Oscillatory Dynamics Supporting Semantic Cognition: MEG Evidence For The Contribution Of The Anterior Temporal Lobe Hub And Modality-Specific Spokes	Plos One
																																								2.0																																											10.1002/hbm.23594	28390148.0	2017	Toward An Electrophysiological “Sweet Spot” For Deep Brain Stimulation In The Subthalamic Nucleus	Human Brain Mapping
																																								8.0																																											10.1523/JNEUROSCI.4490-15.2016	28100748.0	2016	Independent Neural Computation Of Value From Other People's Confidence	The Journal Of Neuroscience
			mni	30.0	224.0	3.0	52.0		True		False	Healthy, pain-free adults without a history of sleep issues; 7 White Non-Hispanic, 2 White Hispanic, 5 Black Non-Hispanic, 1 Black Hispanic, 2 mixed race, 1 Other Hispanic				regression with pain sensitivity score as a covariate of interest	CONN	True				.008 and .09 			SPM	linear		regression	CONN		600.0	.5	110.0				Artifact Detection Tool 		150.0	9.0	1.0	1.0				interleaved	realignment, coregistration, segmentation, normalization, spatial smoothing			0.32	EPI	Artifact Detection Tool 	907.0		Siemens	Tim Trio		2.0		6.0	spatial	SPM12 	v6906		24.0					other	False	True	True		True	True					True	True	10.1002/hbm.24824	31617662.0	2019	Individual Differences In Pain Sensitivity Are Associated With Cognitive Network Functional Connectivity Following One Night Of Experimental Sleep Disruption	Human Brain Mapping
																																								11.0																																											10.1016/j.cortex.2018.12.005		2019	Neural Correlates Of Effort-Based Behavioral Inconsistency	Cortex
																																								9.0																																											10.1016/j.dcn.2019.100660	31128318.0	2019	Emotion Modulation Of The Body-Selective Areas In The Developing Brain	Developmental Cognitive Neuroscience
								http://www.sciencedirect.com/science/article/pii/S1053811917300939																																1.0																																											10.1016/j.neuroimage.2017.01.072		2017	Statistical Power And Prediction Accuracy In Multisite Resting-State fMRI Connectivity	NeuroImage
perpendicular to the long axis of the hippocampus			mni	70.0		3.0	90.0		True											both			Psychiatrically healthy (determined by SCID)		FSL; ANTs								480.0							1.0										0.6	T2-weighted turbo spin-echo		2380.0		Philips	Intera Achieva	0.0	0.429						29.0	23.4	18.0																	10.1016/j.neuroimage.2016.11.047	27876653.0	2017	Manual Segmentation Of The Human Bed Nucleus Of The Stria Terminalis Using 3 T MRI	NeuroImage
axial-oblique (ac-pc)			mni	30.0	220.0	3.0	80.0		True		True	Overweight vs. lean		randommixedeffects				False		both						linear					450.0	variable	64.0						10.0	24.0	5.0	13.0								0.28	Gary Glover's spiral in/out		2.0	2.0	GE	MR 750	1.0	4.0		6.0	FWHM	FSL	5.0.6	8.83	7.9	6.5				eventrelated	False	False	True	True	True	True		False	False	False	True	True	10.1371/journal.pone.0172604	28235080.0	2017	Brain Response To Taste In Overweight Children: A Pilot Feasibility Study	Plos One
